Title,RatingTomatometer,No. of Reviews
Silver Linings Playbook (2012),92,244
American Graffiti (1973),96,47
Juno (2007),94,208
We Are the Best! (2014),96,129
Manhattan (1979),95,62
Bullets Over Broadway (1994),97,58
Won't You Be My Neighbor? (2018),98,216
I Am Not Your Negro (2017),98,192
Man on Wire (2008),100,157
Life Itself (2014),97,196
20 Feet From Stardom (2013),99,118
Three Identical Strangers (2018),96,157
The Last Waltz (1978),98,47
Taxi to the Dark Side (2007),100,92
Kedi (2017),98,114
Blackfish (2013),98,126
Citizenfour (2014),97,143
Murderball (2005),98,138
Minding the Gap (2018),100,63
Shirkers (2018),100,58
Weiner (2016),96,162
Inside Job (2010),98,146
The Missing Picture (2014),99,86
Deliver Us from Evil (2006),100,72
Seymour: An Introduction (2015),100,65
RBG (2018),95,153
Anvil! The Story of Anvil (2009),98,135
Bright Lights: Starring Carrie Fisher and Debbie Reynolds (2017),100,56
The Square (Al Midan) (2013),100,62
Hoop Dreams (1994),98,55
"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr. (1999)",100,43
Strong Island (2017),100,45
Capturing the Friedmans (2003),97,152
Iris (2015),98,96
The Overnighters (2014),99,69
Jodorowsky's Dune (2014),97,115
The Interrupters (2011),99,89
How to Survive a Plague (2012),99,73
March of the Penguins (2005),95,182
56 Up (2013),99,67
The Invisible War (2012),99,70
Kurt Cobain: Montage Of Heck (2015),98,90
Spellbound (2002),97,139
Everyday Sunshine: The Story of Fishbone (2011),100,45
We Were Here (2011),100,44
Enron: The Smartest Guys in the Room (2005),97,119
Bill Cunningham New York (2011),99,72
When We Were Kings (1996),98,47
The Act Of Killing (2013),95,147
13th (2016),97,92
Elaine Stritch: Shoot Me (2014),98,65
Hitchcock/Truffaut (2015),96,114
The King of Kong: A Fistful of Quarters (2007),97,100
The Fog of War: Eleven Lessons from the Life of Robert S. McNamara (2003),96,140
Bowling for Columbine (2002),95,169
The Imposter (2012),96,113
The War Tapes (2006),98,65
Cave of Forgotten Dreams (2011),96,133
West of Memphis (2012),96,112
The Beatles: Eight Days a Week - The Touring Years (2016),96,99
Ai Weiwei: Never Sorry (2012),97,79
Beware Of Mr. Baker (2012),98,52
Jafar Panahi's Taxi (2015),96,96
Marwencol (2010),98,60
Undefeated (2012),96,100
Sicko (2007),92,216
Finders Keepers (2015),98,46
Mea Maxima Culpa: Silence In The House Of God (2012),98,48
Blindsight (2006),98,50
Sound City (2013),98,45
The Devil Came on Horseback (2007),98,51
Call Me Kuchu (2013),98,44
The Island President (2012),98,46
For the Bible Tells Me So (2007),98,49
Welcome To Leith (2015),98,43
Keep On Keepin' On (2014),98,41
Let The Fire Burn (2013),98,42
Restrepo (2010),96,114
The Life and Times of Hank Greenberg (2000),97,65
Born To Be Wild (2011),98,49
Surfwise (2007),98,44
"Lo and Behold, Reveries of the Connected World (2016)",94,132
Bus 174 (Ônibus 174) (2003),97,78
Stories We Tell (2013),94,134
Wordplay (2006),95,120
Control Room (2004),96,110
Burma VJ: Reporter i et Lukket Land (Burma VJ: Reporting from a Closed Country) (2008),97,62
No End in Sight (2007),96,95
49 Up (2006),97,65
The Cove (2009),95,128
Winged Migration (2003),95,133
Muscle Shoals (2013),96,82
The Queen of Versailles (2012),95,111
Moonlight (2016),98,347
A Quiet Place (2018),95,330
Spotlight (2015),97,344
Selma (2015),99,289
The Godfather (1972),98,88
Call Me by Your Name (2018),95,311
Arrival (2016),94,389
Leave No Trace (2018),100,208
The Shape of Water (2017),92,392
Boyhood (2014),97,302
The Maltese Falcon (1941),100,53
Gravity (2013),96,335
12 Years a Slave (2013),95,348
Argo (2012),96,340
The Florida Project (2017),96,274
Alien (1979),97,110
Manchester by the Sea (2016),95,318
Bicycle Thieves (Ladri di biciclette) (1949),98,57
Taxi Driver (1976),98,82
Hell or High Water (2016),97,259
The Babadook (2014),98,227
Brooklyn (2015),97,258
The Night of the Hunter (1955),98,65
The Wrestler (2008),98,225
L.A. Confidential (1997),99,109
Creed (2015),95,285
Phantom Thread (2018),91,303
Room (2015),94,293
Hidden Figures (2017),93,284
"I, Tonya (2018)",89,341
"The Godfather, Part II (1974)",97,72
The Post (2018),88,357
Carol (2015),94,285
Nightcrawler (2014),95,251
Before Midnight (2013),98,189
Schindler's List (1993),97,93
Get Out (2017),98,339
It Follows (2015),96,240
Hereditary (2018),89,317
The Witch (2016),91,308
The Silence of the Lambs (1991),96,89
Pan's Labyrinth (2006),95,229
Evil Dead 2: Dead by Dawn (1987),98,56
Halloween (1978),95,65
